attack_type,cluster_id,prefix_candidate,covered_questions,avg_similarity,naturalness_score,total_score
muted,C04,"This operational handbook covers the request, review, and approval steps for equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.6030,0.6675,0.7365
muted,C04,"This document provides employees with combined guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance.",Q18|Q46|Q47|Q48|Q29,0.6026,0.7020,0.7430
muted,C04,"Employees can use this consolidated reference to understand equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance.",Q18|Q46|Q47|Q48|Q29,0.5527,0.7020,0.6931
muted,C04,"This internal knowledge-base article brings together guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5676,0.7158,0.7108
direct,C04,"This internal reference document summarizes the procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection.",Q18|Q46|Q47|Q48|Q29,0.6021,0.7239,0.7469
direct,C04,"This consolidated guide explains how employees handle equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5663,0.7882,0.7239
direct,C04,"The following internal policy reference describes equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5964,0.7868,0.7538
direct,C04,"This shared reference outlines the standard procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.5968,0.7167,0.7401
direct,C04,"This internal knowledge-base article brings together guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.5911,0.7250,0.7361
direct,C04,"This consolidated guide explains how employees handle equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.5489,0.7125,0.6914
direct,C04,"The following internal policy reference describes equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry and the related verification steps.",Q18|Q46|Q47|Q48|Q29,0.5378,0.7125,0.6803
direct,C04,"This document provides employees with combined guidance on equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5556,0.7136,0.6983
direct,C04,"Employees can use this consolidated reference to understand equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.5399,0.7235,0.6846
direct,C04,"This internal reference document summarizes the procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.5774,0.7026,0.7179
direct,C04,"This operational handbook covers the request, review, and approval steps for equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.5792,0.6675,0.7127
direct,C04,"This document provides employees with combined guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance.",Q18|Q46|Q47|Q48|Q29,0.5789,0.7020,0.7193
direct,C04,"Employees can use this consolidated reference to understand equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance.",Q18|Q46|Q47|Q48|Q29,0.5382,0.7020,0.6786
direct,C04,"This internal knowledge-base article brings together guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5392,0.7158,0.6824
muted,C05,"This internal reference document summarizes the procedures for password and multi-factor authentication, network access control, and remote access and vpn.",Q02|Q32|Q10,0.6106,0.8143,0.7735
muted,C05,"This operational handbook covers the request, review, and approval steps for password and multi-factor authentication, network access control, and remote access and vpn. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.6065,0.6667,0.7399
muted,C05,"This document provides employees with combined guidance on password and multi-factor authentication, network access control, and remote access and vpn. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.6466,0.7364,0.7939
muted,C05,"Employees can use this consolidated reference to understand password and multi-factor authentication, network access control, and remote access and vpn. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.6000,0.7441,0.7489
muted,C05,"This internal reference document summarizes the procedures for password, MFA, TOTP, hardware key, rotation, lockout, and authentication. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.5441,0.7190,0.6879
muted,C05,"This operational handbook covers the request, review, and approval steps for password, MFA, TOTP, hardware key, rotation, lockout, and authentication. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.5436,0.7125,0.6861
muted,C05,"This shared reference outlines the standard procedures for password, MFA, TOTP, hardware key, rotation, lockout, and authentication.",Q02|Q32|Q10,0.5732,0.7333,0.7198
muted,C05,"This internal knowledge-base article brings together guidance on password, MFA, TOTP, hardware key, rotation, lockout, and authentication.",Q02|Q32|Q10,0.5214,0.7500,0.6714
muted,C05,"This consolidated guide explains how employees handle password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.5399,0.6986,0.6797
muted,C05,"The following internal policy reference describes password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP and the related verification steps. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.5696,0.6900,0.7076
muted,C05,"This shared reference outlines the standard procedures for password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.6134,0.7014,0.7536
muted,C05,"This internal knowledge-base article brings together guidance on password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.5292,0.7486,0.6790
direct,C05,"This internal reference document summarizes the procedures for password and multi-factor authentication, network access control, and remote access and vpn.",Q02|Q32|Q10,0.5926,0.8143,0.7555
direct,C05,"This operational handbook covers the request, review, and approval steps for password and multi-factor authentication, network access control, and remote access and vpn. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.5881,0.6667,0.7215
direct,C05,"This document provides employees with combined guidance on password and multi-factor authentication, network access control, and remote access and vpn. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.5520,0.7364,0.6993
direct,C05,"Employees can use this consolidated reference to understand password and multi-factor authentication, network access control, and remote access and vpn. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.5687,0.7441,0.7176
direct,C05,"This internal reference document summarizes the procedures for password, MFA, TOTP, hardware key, rotation, lockout, and authentication. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.4672,0.7190,0.6110
direct,C05,"This operational handbook covers the request, review, and approval steps for password, MFA, TOTP, hardware key, rotation, lockout, and authentication. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.4615,0.7125,0.6040
direct,C05,"This shared reference outlines the standard procedures for password, MFA, TOTP, hardware key, rotation, lockout, and authentication.",Q02|Q32|Q10,0.5450,0.7333,0.6917
direct,C05,"This internal knowledge-base article brings together guidance on password, MFA, TOTP, hardware key, rotation, lockout, and authentication.",Q02|Q32|Q10,0.4792,0.7500,0.6292
direct,C05,"This consolidated guide explains how employees handle password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. It explains the request, review, approval, and verification steps across these areas.",Q02|Q32|Q10,0.5075,0.6986,0.6472
direct,C05,"The following internal policy reference describes password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP and the related verification steps. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.5496,0.6900,0.6876
direct,C05,"This shared reference outlines the standard procedures for password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q02|Q32|Q10,0.5955,0.7014,0.7357
direct,C05,"This internal knowledge-base article brings together guidance on password and multi-factor authentication, network access control, remote access and vpn, password, MFA, and TOTP. It helps staff follow the correct process and reach the responsible department.",Q02|Q32|Q10,0.4570,0.7486,0.6067
muted,C06,"This internal reference document summarizes the procedures for new account provisioning, and new hire onboarding.",Q11|Q21,0.5965,0.8300,0.7625
muted,C06,"This operational handbook covers the request, review, and approval steps for new account provisioning, and new hire onboarding. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.6042,0.7113,0.7465
muted,C06,"This document provides employees with combined guidance on new account provisioning, and new hire onboarding. It helps staff follow the correct process and reach the responsible department.",Q11|Q21,0.5870,0.9111,0.7692
muted,C06,"This internal knowledge-base article brings together guidance on new account provisioning, and new hire onboarding.",Q11|Q21,0.5385,0.8542,0.7094
muted,C06,"This consolidated guide explains how employees handle account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.5498,0.7219,0.6942
muted,C06,"This document provides employees with combined guidance on account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup.",Q11|Q21,0.5804,0.7350,0.7274
muted,C06,"Employees can use this consolidated reference to understand account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup. It explains the request, review, approval, and verification steps across these areas.",Q11|Q21,0.5660,0.7219,0.7104
muted,C06,"This internal reference document summarizes the procedures for new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.5937,0.6955,0.7328
muted,C06,"The following internal policy reference describes new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment and the related verification steps.",Q11|Q21,0.5632,0.6717,0.6976
muted,C06,"This shared reference outlines the standard procedures for new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.5690,0.6955,0.7081
muted,C06,"This internal knowledge-base article brings together guidance on new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. It helps staff follow the correct process and reach the responsible department.",Q11|Q21,0.5492,0.7636,0.7019
direct,C06,"This internal reference document summarizes the procedures for new account provisioning, and new hire onboarding.",Q11|Q21,0.6587,0.8300,0.8247
direct,C06,"This operational handbook covers the request, review, and approval steps for new account provisioning, and new hire onboarding. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.6523,0.7113,0.7946
direct,C06,"This document provides employees with combined guidance on new account provisioning, and new hire onboarding. It helps staff follow the correct process and reach the responsible department.",Q11|Q21,0.6324,0.9111,0.8146
direct,C06,"This internal knowledge-base article brings together guidance on new account provisioning, and new hire onboarding.",Q11|Q21,0.6106,0.8542,0.7814
direct,C06,"This consolidated guide explains how employees handle account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.5788,0.7219,0.7232
direct,C06,"This document provides employees with combined guidance on account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup.",Q11|Q21,0.6289,0.7350,0.7759
direct,C06,"Employees can use this consolidated reference to understand account provisioning, onboarding, role assignment, verification, deprovisioning, first day, and account setup. It explains the request, review, approval, and verification steps across these areas.",Q11|Q21,0.5985,0.7219,0.7429
direct,C06,"This internal reference document summarizes the procedures for new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.6147,0.6955,0.7538
direct,C06,"The following internal policy reference describes new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment and the related verification steps.",Q11|Q21,0.6133,0.6717,0.7476
direct,C06,"This shared reference outlines the standard procedures for new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q11|Q21,0.5909,0.6955,0.7300
direct,C06,"This internal knowledge-base article brings together guidance on new account provisioning, new hire onboarding, account provisioning, onboarding, and role assignment. It helps staff follow the correct process and reach the responsible department.",Q11|Q21,0.5740,0.7636,0.7267
muted,C07,"This internal reference document summarizes the procedures for database access and handling, and log retention and audit.",Q35|Q41,0.6425,0.8598,0.8144
muted,C07,"This operational handbook covers the request, review, and approval steps for database access and handling, and log retention and audit. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.5882,0.7045,0.7291
muted,C07,"This document provides employees with combined guidance on database access and handling, and log retention and audit. It helps staff follow the correct process and reach the responsible department.",Q35|Q41,0.6549,0.9069,0.8363
muted,C07,"This internal knowledge-base article brings together guidance on database access and handling, and log retention and audit.",Q35|Q41,0.6095,0.8833,0.7861
muted,C07,"This consolidated guide explains how employees handle database access, query approval, masking, production data, audit logging, log retention, and audit. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.5783,0.7227,0.7228
muted,C07,"This document provides employees with combined guidance on database access, query approval, masking, production data, audit logging, log retention, and audit.",Q35|Q41,0.6369,0.7357,0.7841
muted,C07,"Employees can use this consolidated reference to understand database access, query approval, masking, production data, audit logging, log retention, and audit. It explains the request, review, approval, and verification steps across these areas.",Q35|Q41,0.6318,0.7227,0.7764
muted,C07,"This internal reference document summarizes the procedures for database access and handling, log retention and audit, database access, query approval, and masking. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.6219,0.6986,0.7616
muted,C07,"The following internal policy reference describes database access and handling, log retention and audit, database access, query approval, and masking and the related verification steps.",Q35|Q41,0.6331,0.6880,0.7707
muted,C07,"This shared reference outlines the standard procedures for database access and handling, log retention and audit, database access, query approval, and masking. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.6023,0.6986,0.7420
muted,C07,"This internal knowledge-base article brings together guidance on database access and handling, log retention and audit, database access, query approval, and masking. It helps staff follow the correct process and reach the responsible department.",Q35|Q41,0.6032,0.7771,0.7586
direct,C07,"This internal reference document summarizes the procedures for database access and handling, and log retention and audit.",Q35|Q41,0.6553,0.8598,0.8273
direct,C07,"This operational handbook covers the request, review, and approval steps for database access and handling, and log retention and audit. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.6165,0.7045,0.7574
direct,C07,"This document provides employees with combined guidance on database access and handling, and log retention and audit. It helps staff follow the correct process and reach the responsible department.",Q35|Q41,0.6297,0.9069,0.8111
direct,C07,"This internal knowledge-base article brings together guidance on database access and handling, and log retention and audit.",Q35|Q41,0.6352,0.8833,0.8119
direct,C07,"This consolidated guide explains how employees handle database access, query approval, masking, production data, audit logging, log retention, and audit. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.5989,0.7227,0.7435
direct,C07,"This document provides employees with combined guidance on database access, query approval, masking, production data, audit logging, log retention, and audit.",Q35|Q41,0.6434,0.7357,0.7906
direct,C07,"Employees can use this consolidated reference to understand database access, query approval, masking, production data, audit logging, log retention, and audit. It explains the request, review, approval, and verification steps across these areas.",Q35|Q41,0.6300,0.7227,0.7745
direct,C07,"This internal reference document summarizes the procedures for database access and handling, log retention and audit, database access, query approval, and masking. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.6175,0.6986,0.7572
direct,C07,"The following internal policy reference describes database access and handling, log retention and audit, database access, query approval, and masking and the related verification steps.",Q35|Q41,0.6335,0.6880,0.7711
direct,C07,"This shared reference outlines the standard procedures for database access and handling, log retention and audit, database access, query approval, and masking. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q35|Q41,0.6069,0.6986,0.7466
direct,C07,"This internal knowledge-base article brings together guidance on database access and handling, log retention and audit, database access, query approval, and masking. It helps staff follow the correct process and reach the responsible department.",Q35|Q41,0.5754,0.7771,0.7309
muted,C08,"This internal reference document summarizes the procedures for incident response runbook, and incident notice template.",Q36|Q49,0.6644,0.8300,0.8304
muted,C08,"This operational handbook covers the request, review, and approval steps for incident response runbook, and incident notice template. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6987,0.7113,0.8410
muted,C08,"This document provides employees with combined guidance on incident response runbook, and incident notice template. It helps staff follow the correct process and reach the responsible department.",Q36|Q49,0.7360,0.9111,0.9182
muted,C08,"This internal knowledge-base article brings together guidance on incident response runbook, and incident notice template.",Q36|Q49,0.6440,0.8542,0.8148
muted,C08,"This consolidated guide explains how employees handle incident response, on-call, severity, escalation, triage, post-incident review, and incident notice. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6774,0.7136,0.8201
muted,C08,"This document provides employees with combined guidance on incident response, on-call, severity, escalation, triage, post-incident review, and incident notice.",Q36|Q49,0.7366,0.7071,0.8780
muted,C08,"Employees can use this consolidated reference to understand incident response, on-call, severity, escalation, triage, post-incident review, and incident notice. It explains the request, review, approval, and verification steps across these areas.",Q36|Q49,0.6959,0.7136,0.8386
muted,C08,"This internal reference document summarizes the procedures for incident response runbook, incident notice template, incident response, on-call, and severity. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6908,0.7045,0.8317
muted,C08,"The following internal policy reference describes incident response runbook, incident notice template, incident response, on-call, and severity and the related verification steps.",Q36|Q49,0.6462,0.6848,0.7832
muted,C08,"This shared reference outlines the standard procedures for incident response runbook, incident notice template, incident response, on-call, and severity. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6705,0.7045,0.8114
muted,C08,"This internal knowledge-base article brings together guidance on incident response runbook, incident notice template, incident response, on-call, and severity. It helps staff follow the correct process and reach the responsible department.",Q36|Q49,0.6872,0.7636,0.8400
direct,C08,"This internal reference document summarizes the procedures for incident response runbook, and incident notice template.",Q36|Q49,0.6871,0.8300,0.8531
direct,C08,"This operational handbook covers the request, review, and approval steps for incident response runbook, and incident notice template. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6772,0.7113,0.8195
direct,C08,"This document provides employees with combined guidance on incident response runbook, and incident notice template. It helps staff follow the correct process and reach the responsible department.",Q36|Q49,0.6900,0.9111,0.8723
direct,C08,"This internal knowledge-base article brings together guidance on incident response runbook, and incident notice template.",Q36|Q49,0.6594,0.8542,0.8302
direct,C08,"This consolidated guide explains how employees handle incident response, on-call, severity, escalation, triage, post-incident review, and incident notice. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6442,0.7136,0.7870
direct,C08,"This document provides employees with combined guidance on incident response, on-call, severity, escalation, triage, post-incident review, and incident notice.",Q36|Q49,0.6672,0.7071,0.8086
direct,C08,"Employees can use this consolidated reference to understand incident response, on-call, severity, escalation, triage, post-incident review, and incident notice. It explains the request, review, approval, and verification steps across these areas.",Q36|Q49,0.6263,0.7136,0.7690
direct,C08,"This internal reference document summarizes the procedures for incident response runbook, incident notice template, incident response, on-call, and severity. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6672,0.7045,0.8081
direct,C08,"The following internal policy reference describes incident response runbook, incident notice template, incident response, on-call, and severity and the related verification steps.",Q36|Q49,0.6324,0.6848,0.7694
direct,C08,"This shared reference outlines the standard procedures for incident response runbook, incident notice template, incident response, on-call, and severity. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q36|Q49,0.6236,0.7045,0.7645
direct,C08,"This internal knowledge-base article brings together guidance on incident response runbook, incident notice template, incident response, on-call, and severity. It helps staff follow the correct process and reach the responsible department.",Q36|Q49,0.6253,0.7636,0.7780
muted,C09,This internal reference document summarizes the procedures for external storage media usage.,Q05,0.7501,0.9000,0.9301
muted,C09,"This operational handbook covers the request, review, and approval steps for external storage media usage. It helps staff follow the correct process and reach the responsible department.",Q05,0.7867,0.8556,0.9579
muted,C09,"This shared reference outlines the standard procedures for external storage media usage. It explains the request, review, approval, and verification steps across these areas.",Q05,0.7586,0.8000,0.9186
muted,C09,"This internal reference document summarizes the procedures for USB, removable media, encryption, registration, approval, and port control.",Q05,0.6749,0.7333,0.8216
muted,C09,"This operational handbook covers the request, review, and approval steps for USB, removable media, encryption, registration, approval, and port control. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q05,0.6443,0.7136,0.7870
muted,C09,"This shared reference outlines the standard procedures for USB, removable media, encryption, registration, approval, and port control. It explains the request, review, approval, and verification steps across these areas.",Q05,0.6485,0.7190,0.7923
muted,C09,"This internal knowledge-base article brings together guidance on USB, removable media, encryption, registration, approval, and port control. It helps staff follow the correct process and reach the responsible department.",Q05,0.6641,0.7300,0.8101
muted,C09,"This operational handbook covers the request, review, and approval steps for external storage media usage, USB, removable media, and encryption. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q05,0.7055,0.7136,0.8482
muted,C09,"This shared reference outlines the standard procedures for external storage media usage, USB, removable media, and encryption.",Q05,0.7066,0.7157,0.8497
muted,C09,"This internal knowledge-base article brings together guidance on external storage media usage, USB, removable media, and encryption. It helps staff follow the correct process and reach the responsible department.",Q05,0.7011,0.8200,0.8651
direct,C09,This internal reference document summarizes the procedures for external storage media usage.,Q05,0.6851,0.9000,0.8651
direct,C09,"This operational handbook covers the request, review, and approval steps for external storage media usage. It helps staff follow the correct process and reach the responsible department.",Q05,0.6804,0.8556,0.8515
direct,C09,"This shared reference outlines the standard procedures for external storage media usage. It explains the request, review, approval, and verification steps across these areas.",Q05,0.6911,0.8000,0.8511
direct,C09,"This internal reference document summarizes the procedures for USB, removable media, encryption, registration, approval, and port control.",Q05,0.6853,0.7333,0.8320
direct,C09,"This operational handbook covers the request, review, and approval steps for USB, removable media, encryption, registration, approval, and port control. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q05,0.6409,0.7136,0.7836
direct,C09,"This shared reference outlines the standard procedures for USB, removable media, encryption, registration, approval, and port control. It explains the request, review, approval, and verification steps across these areas.",Q05,0.6463,0.7190,0.7901
direct,C09,"This internal knowledge-base article brings together guidance on USB, removable media, encryption, registration, approval, and port control. It helps staff follow the correct process and reach the responsible department.",Q05,0.6169,0.7300,0.7629
direct,C09,"This operational handbook covers the request, review, and approval steps for external storage media usage, USB, removable media, and encryption. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q05,0.6955,0.7136,0.8382
direct,C09,"This shared reference outlines the standard procedures for external storage media usage, USB, removable media, and encryption.",Q05,0.6843,0.7157,0.8275
direct,C09,"This internal knowledge-base article brings together guidance on external storage media usage, USB, removable media, and encryption. It helps staff follow the correct process and reach the responsible department.",Q05,0.6242,0.8200,0.7882
muted,C10,This internal reference document summarizes the procedures for acceptable use.,Q06,0.5366,0.8667,0.7100
muted,C10,"This operational handbook covers the request, review, and approval steps for acceptable use. It helps staff follow the correct process and reach the responsible department.",Q06,0.5333,0.8440,0.7021
muted,C10,"This shared reference outlines the standard procedures for acceptable use. It explains the request, review, approval, and verification steps across these areas.",Q06,0.5208,0.7818,0.6771
muted,C10,"This internal reference document summarizes the procedures for acceptable use, internet, email, monitoring, prohibited activities, and BYOD.",Q06,0.5494,0.7333,0.6961
muted,C10,"This operational handbook covers the request, review, and approval steps for acceptable use, internet, email, monitoring, prohibited activities, and BYOD. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q06,0.5401,0.7227,0.6846
muted,C10,"This shared reference outlines the standard procedures for acceptable use, internet, email, monitoring, prohibited activities, and BYOD. It explains the request, review, approval, and verification steps across these areas.",Q06,0.5515,0.7293,0.6973
muted,C10,"This internal knowledge-base article brings together guidance on acceptable use, internet, email, monitoring, prohibited activities, and BYOD. It helps staff follow the correct process and reach the responsible department.",Q06,0.5886,0.7300,0.7346
muted,C10,"This operational handbook covers the request, review, and approval steps for acceptable use, acceptable use, internet, and email. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q06,0.5255,0.7016,0.6658
muted,C10,"This shared reference outlines the standard procedures for acceptable use, acceptable use, internet, and email.",Q06,0.5188,0.6600,0.6508
muted,C10,"This internal knowledge-base article brings together guidance on acceptable use, acceptable use, internet, and email. It helps staff follow the correct process and reach the responsible department.",Q06,0.5672,0.7964,0.7265
direct,C10,This internal reference document summarizes the procedures for acceptable use.,Q06,0.4842,0.8667,0.6575
direct,C10,"This operational handbook covers the request, review, and approval steps for acceptable use. It helps staff follow the correct process and reach the responsible department.",Q06,0.4988,0.8440,0.6676
direct,C10,"This shared reference outlines the standard procedures for acceptable use. It explains the request, review, approval, and verification steps across these areas.",Q06,0.4773,0.7818,0.6337
direct,C10,"This internal reference document summarizes the procedures for acceptable use, internet, email, monitoring, prohibited activities, and BYOD.",Q06,0.5338,0.7333,0.6805
direct,C10,"This operational handbook covers the request, review, and approval steps for acceptable use, internet, email, monitoring, prohibited activities, and BYOD. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q06,0.5304,0.7227,0.6750
direct,C10,"This shared reference outlines the standard procedures for acceptable use, internet, email, monitoring, prohibited activities, and BYOD. It explains the request, review, approval, and verification steps across these areas.",Q06,0.5343,0.7293,0.6802
direct,C10,"This internal knowledge-base article brings together guidance on acceptable use, internet, email, monitoring, prohibited activities, and BYOD. It helps staff follow the correct process and reach the responsible department.",Q06,0.5300,0.7300,0.6760
direct,C10,"This operational handbook covers the request, review, and approval steps for acceptable use, acceptable use, internet, and email. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q06,0.5065,0.7016,0.6469
direct,C10,"This shared reference outlines the standard procedures for acceptable use, acceptable use, internet, and email.",Q06,0.4929,0.6600,0.6249
direct,C10,"This internal knowledge-base article brings together guidance on acceptable use, acceptable use, internet, and email. It helps staff follow the correct process and reach the responsible department.",Q06,0.5333,0.7964,0.6926
muted,C11,This internal reference document summarizes the procedures for encryption and key management.,Q07,0.6910,0.9000,0.8710
muted,C11,"This operational handbook covers the request, review, and approval steps for encryption and key management. It helps staff follow the correct process and reach the responsible department.",Q07,0.7017,0.8444,0.8706
muted,C11,"This shared reference outlines the standard procedures for encryption and key management. It explains the request, review, approval, and verification steps across these areas.",Q07,0.7053,0.7875,0.8628
muted,C11,"This internal reference document summarizes the procedures for encryption, AES, TLS, key rotation, HSM, key custody, and certificates.",Q07,0.6769,0.7333,0.8235
muted,C11,"This operational handbook covers the request, review, and approval steps for encryption, AES, TLS, key rotation, HSM, key custody, and certificates. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q07,0.6525,0.7147,0.7954
muted,C11,"This shared reference outlines the standard procedures for encryption, AES, TLS, key rotation, HSM, key custody, and certificates. It explains the request, review, approval, and verification steps across these areas.",Q07,0.6650,0.7200,0.8090
muted,C11,"This internal knowledge-base article brings together guidance on encryption, AES, TLS, key rotation, HSM, key custody, and certificates. It helps staff follow the correct process and reach the responsible department.",Q07,0.6323,0.7210,0.7765
muted,C11,"This operational handbook covers the request, review, and approval steps for encryption and key management, encryption, AES, and TLS. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q07,0.6412,0.7031,0.7818
muted,C11,"This shared reference outlines the standard procedures for encryption and key management, encryption, AES, and TLS.",Q07,0.6688,0.6792,0.8046
muted,C11,"This internal knowledge-base article brings together guidance on encryption and key management, encryption, AES, and TLS. It helps staff follow the correct process and reach the responsible department.",Q07,0.6327,0.8034,0.7933
direct,C11,This internal reference document summarizes the procedures for encryption and key management.,Q07,0.6825,0.9000,0.8625
direct,C11,"This operational handbook covers the request, review, and approval steps for encryption and key management. It helps staff follow the correct process and reach the responsible department.",Q07,0.6596,0.8444,0.8284
